Folhas e hortaliças | O molho,Qtd,Unit,Total
Alface americano,,"2,5",
Alface crespa,,"2,5",
Alho poró,,2,
Capim santo,,"2,5",
Cebola,,3,
Cebolinha,,"2,5",
Coentro,,3,
Couve folha,,"2,5",
Chinguezay (Acelga chinesa),,3,
Espinafre,,3,
Hortelã,,"2,5",
Salsinha,,"2,5",
Rúcula,,"2,5",
,,,
Frutas,,,
Banana pacovan | unidade,,"0,25",
Cana | saquinho,,2,
Laranja comum | 4 unidades,,2,
Laranja mimo | 4 unidades,,2,
Maracujá | 1kg,,7,
,,,
"Raízes, tubérculos, legumes e afins",,,
Batata doce | 1kg,,4,
Cará,,5,
Cenoura | o molho,,3,
Jerimum | 1kg,,5,
Macaxeira | 1kg,,4,
Rabanete | molho,,"2,5",
Quiabo | 15 unidades,,2,
,,,
Outros,,,
Fava seca | 1kg,,12,
Mel italiana | 250gr,,20,
Mel italiana | 500gr,,35,
Mel no favo | 450 gramas,,25,
Ovos de capoeira | a unidades,,1,
Polpa de cajá | 400gr,,6,
Própolis | 20 ml,,16,
Pão sem trigo (grande),,13,
Pão com trigo (grande),,13,
Pão com trigo (pequeno),,7,
Bolo (sem trigo),,10,
Bolinho de bacia (c/ trigo),,2,
Mini pizza (a unidade),,3,
Pizza brotinho (a unidade),,5,
Bolacha com trigo (o saquinho),,5,
Sucos com açucar (200 ml),,3,
Sucos sem açucar (200 ml),,3,
Sucos com ou sem açucar (1 litro),,10,
Refeições congeladas (500gr),,12,
Refeições congeladas (750gr),,15,
Hambúrguer de ora-pro-nóbis | 6 unidades,,12,
Molhos prontos,,10,
Massa artesanal (lasanha ou taglatelle),,12,
,,,
"Pastinhas, antepastos e geleias.",,,
Pepita de girassol,,5,
Homus de grão de bico com paprika,,5,
Bisnaga maionese de pepita girassol (250 ml),,10,
Pimentas ao mel de engenho,,15,
"Confit de tomatinho, pimenta, pimentão, ou berinjela",,15,
Geleia de tomate com pimenta/abacaxi/manga,,13,
Caponata siciliana,,13,
,,,
Lanches (sem trigo),,,
Quiche de macaxeira c/ alho poró,,5,
Quiche de macaxeira c/ tomate seco,,5,
Sanduíche sem glútem de ricota,,6,
Sanduíche sem glútem de caponata siciliana,,6,
Sanduíche sem glútem de ragu,,6,
,,,
Lanches (com trigo),,,
Empanado de falso camarão,,5,
Empanado de antepasto de berinjela,,5,
Empanado de Tofu  com cebola caramelizada,,5,
Pãozinhos de inhame recheados,,5,
